Genero,Faixa_Etaria,Escolaridade,Familiaridade,Q1,Q2,Q3,Q4,Q5,Q6
Feminino,21-29,SC,Sim,0,0,1,0,0,0
Feminino,18-20,EMI,Nao,0,1,1,0,1,0
Feminino,50-59,PGC,Sim,1,0,1,0,1,0
Feminino,21-29,SC,Sim,0,0,1,0,1,1
Feminino,21-29,SI,Sim,0,1,1,0,1,0
Feminino,18-20,EMC,Sim,0,1,1,0,1,1
Feminino,21-29,SI,Sim,0,1,1,0,1,1
Feminino,21-29,SI,Sim,0,1,1,0,1,1
Feminino,21-29,SC,Sim,0,1,1,1,1,1
Feminino,21-29,SI,Nao,0,1,1,1,1,1
Feminino,21-29,SC,Nao,0,0,0,0,0,0
Feminino,18-20,SI,Nao,0,1,1,1,1,1
Feminino,21-29,SC,Nao,0,0,0,0,0,0
Feminino,21-29,SI,Sim,0,0,1,0,1,0
Feminino,18-20,EMC,Nao,0,1,1,0,0,1
Feminino,21-29,SI,Nao,0,1,0,0,1,0
Feminino,40-49,SC,Nao,0,1,1,1,1,1
Feminino,30-39,PGC,Sim,0,1,1,0,1,1
Feminino,30-39,PGC,Nao,0,1,1,0,1,0
Feminino,18-20,SI,Nao,0,0,0,0,0,0
Feminino,50-59,EMC,Nao,0,0,0,0,0,0
Feminino,50-59,EMC,Nao,0,0,0,0,0,0
Feminino,50-59,EMC,Nao,0,0,0,0,0,0
Feminino,21-29,SI,Sim,1,1,1,1,1,1
Feminino,21-29,SI,Sim,0,0,1,0,1,0
Feminino,40-49,PGC,Sim,0,1,1,0,1,1
Feminino,21-29,SC,Sim,0,0,1,0,0,0
Feminino,18-20,SI,Nao,0,1,1,1,0,0
Feminino,21-29,EMC,Sim,0,1,1,0,1,1
Feminino,18-20,SI,Nao,0,0,1,0,1,1
Feminino,18-20,SI,Nao,0,1,1,1,0,0
Feminino,40-49,EMC,Nao,0,0,0,0,1,0
Feminino,30-39,SC,Nao,0,1,1,0,1,0
Feminino,40-49,PGC,Nao,0,0,1,0,0,1
Feminino,40-49,SC,Sim,0,0,0,0,0,0
Feminino,50-59,PGC,Sim,1,0,1,0,0,0
Feminino,50-59,PGC,Nao,0,0,1,0,1,0
Feminino,60,PGC,Sim,0,0,0,0,0,0
Feminino,18-20,SI,Sim,0,0,0,0,0,0
