Genero,Faixa_Etaria,Escolaridade,Familiaridade,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26
Feminino,21-29,SC,Sim,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Masculino,21-29,PGC,Sim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feminino,50-59,PGC,Sim,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0
Feminino,21-29,SC,Sim,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0
Feminino,21-29,SI,Sim,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0
Masculino,21-29,SC,Sim,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
Feminino,18-20,EMC,Sim,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Feminino,21-29,SI,Sim,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
Feminino,21-29,SI,Sim,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
Feminino,21-29,SC,Sim,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Masculino,21-29,SC,Sim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feminino,21-29,SI,Sim,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Masculino,18-20,SI,Sim,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Masculino,18-20,EMI,Sim,0,0,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1
Feminino,30-39,PGC,Sim,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
Masculino,21-29,SC,Sim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Masculino,21-29,PGC,Sim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Masculino,21-29,SC,Sim,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Masculino,30-39,SC,Sim,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
Masculino,18-20,SI,Sim,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Masculino,21-29,SI,Sim,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Masculino,21-29,SI,Sim,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Masculino,18-20,EMC,Sim,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Masculino,18-20,SI,Sim,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Feminino,21-29,SI,Sim,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feminino,21-29,SI,Sim,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Feminino,40-49,PGC,Sim,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Masculino,40-49,SC,Sim,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0
Feminino,21-29,SC,Sim,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Masculino,18-20,EMC,Sim,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Feminino,21-29,EMC,Sim,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Feminino,40-49,SC,Sim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feminino,50-59,PGC,Sim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Masculino,21-29,SC,Sim,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Masculino,21-29,SI,Sim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Masculino,21-29,SI,Sim,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
Masculino,21-29,SI,Sim,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1
Masculino,21-29,SC,Sim,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1
Feminino,60,PGC,Sim,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Feminino,18-20,SI,Sim,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
